race,LSAT,UGPA,ZFYA,uuid
0,39.0,3.1,-0.98,55063625309398085572921061138707293559
0,36.0,3.0,0.09,203829566813107168118099661312945278941
0,30.0,3.1,-0.35,57706321391077421628086688594773164754
4,39.0,2.2,0.58,312061551024311974673637643126863634383
0,37.0,3.4,-1.26,160487175331660763496452785346143427175
0,30.5,3.6,0.3,60927669005274773602724037276846954168
0,36.0,3.6,-0.1,179611166384751192985368761679615093651
0,37.0,2.7,-0.12,317972704746068905793022629557279352540
0,37.0,2.6,1.53,30151817224790704363859670068140426334
0,31.0,3.6,0.34,72677352355645761415645186105138187153
0,41.0,3.2,1.53,123506365758687365892567597155092689871
0,35.0,3.1,-0.68,286627303170230073877121636345793438307
0,35.0,3.2,-0.17,312358390766708927082201526235065570611
0,35.0,2.9,-0.42,86554595793592139446351426317795401613
0,41.0,2.3,-0.35,65073357620428515074459071660685154637
0,30.5,3.3,0.85,295408200336627773188823731069201766707
0,36.0,3.0,0.04,153203833262206972479464027768449401620
0,40.0,3.9,2.48,221722590056123706584749046197155740240
0,36.0,3.4,0.27,2326049654924554581003921223739802021
0,29.0,2.7,0.88,217088219758256928291981583076379708382
0,37.0,3.2,0.58,51755903102034820190029932630626607198
0,30.0,3.1,1.99,133341980051299248474762670044170546966
0,40.0,3.1,-0.8,157473757923739802965794201571702106710
2,31.0,3.1,0.51,180555178831495943236727962045714578554
0,37.0,3.6,0.81,50480013188148091701759701422966968344
3,29.0,2.8,-1.03,73629207380629851546543511978422864865
0,34.0,2.8,-0.12,87895507542920580987780326087126960602
0,35.0,3.0,-0.61,154483462951662665962905567426045685477
0,40.0,3.4,-0.73,4435359567579415655250416586660672538
0,36.0,2.6,-0.63,328205167554433404344126959878128455806
0,29.0,2.9,-0.02,317480843876353578876130380178172782439
0,35.0,2.5,0.02,96166323950375250670953588548627111233
0,32.0,3.4,0.65,162436459531237669339239389723195741288
0,36.0,2.7,-0.05,229764521307869008897243866752070703809
0,36.0,3.3,0.53,194751886329737961146264730810185246620
0,36.0,2.5,-1.1,293516210856713968275276222482560957487
0,38.0,3.6,1.41,111436488573622212592015155474122992941
0,36.0,3.6,1.18,319535390794221588939548858873320377896
0,32.5,3.2,0.76,36080876990171261296325870981893187127
0,27.0,3.5,-1.05,323420148050786227539236096218748785953
0,36.0,2.4,0.39,90816290532214958870436502681753424187
3,19.0,3.2,-0.7,565564229378376019966102333704867912
0,34.0,3.7,1.23,278783069663657106641920828651936931459
0,35.0,3.1,1.71,241348690498924268703640459424924988803
4,31.0,3.2,-0.82,305675741952749154264833659724888025453
0,36.0,2.8,-0.17,91486561954135447491612689865818688517
6,32.0,3.0,-0.63,297030004744675393305814176897577740599
0,38.0,3.7,-0.05,147661626434778316053270862408099394689
0,34.0,3.2,0.37,95884515463747940494466803560872702361
0,38.0,2.8,0.44,228470442652612340832238557188001829281
0,36.0,3.4,0.46,83028391545773203124845509169653626896
0,42.0,3.5,-0.42,211524225180498496795537508417334706861
0,29.0,2.3,-0.93,216109343045877397885114352288839768408
0,31.0,3.7,-0.49,340258637750700621371747087618284476730
3,23.0,2.6,0.48,77290483958811080766311326745343403166
0,37.0,3.8,0.72,28499922290925321896977002355738871204
0,33.0,3.3,-1.24,33797146665980532667554771163817506199
0,35.0,3.3,-0.7,197180561765106954606570946780330907690
0,36.0,3.2,0.83,144629050899151684150646395258835145527
0,35.5,2.4,-0.63,122513753982918256582364926568409238210
0,41.0,3.4,-0.05,258750158065998401866341875116552193174
0,34.0,3.5,0.55,117922693546620239723576385634165701048
2,27.0,2.9,-0.77,141185094207726682322743041409258865623
0,29.0,3.3,-0.98,226320644635396397723502388307724934080
0,33.0,3.3,1.27,38545536705210577765081319000276745390
0,32.0,2.9,-0.62,138599267902531595792420423630112946862
0,39.0,2.3,0.51,225263301634616202309237495348072609343
2,23.0,3.7,-0.17,141184685922906068814952402158737366528
0,39.0,3.4,-0.56,248148103322265169338530303575748046548
0,39.0,3.0,-0.42,172074126609045253974234721420393564126
0,32.0,3.8,-0.08,311387990926070102893819732932373459765
0,29.0,3.3,-1.19,196084643056257991640413879138193602676
0,31.0,3.0,-1.07,305530922089738481421932124639406165977
0,36.0,3.3,-0.49,281001042275907364541989765783919960497
3,27.0,2.4,-1.66,91088498832013012904322765841483859461
0,30.0,3.5,1.39,120049852863127072012365463101437381101
0,38.0,3.5,2.78,52691494520464424922846149746997799639
0,34.0,2.8,-0.63,180841221680736279981640350948538298646
0,37.0,3.7,1.32,226154861984035961337935174816521794509
4,36.0,2.7,-1.28,188190437028290488644374319739829217747
0,43.0,3.0,0.1,147627402363101111742082677214499963244
0,42.0,2.9,-0.62,296355356728480228795963926138973986570
0,33.5,3.4,0.69,280501587328043091579310437809462681923
0,25.0,2.9,-0.9,255032155302366319588125742161639102872
0,38.0,3.4,1.23,59527087604899223476913166461631267850
0,42.0,3.6,0.7,190671061965714837113045974624403350006
0,37.0,3.5,-1.64,260926838385771432033996517606857153327
0,29.5,3.5,-0.24,82150246979108228673072394318909458177
0,41.0,3.1,-0.05,170225236372948299029309377161112267951
0,38.0,3.6,-1.0,81098671078953549885337001781847969402
0,42.0,3.2,-0.22,294111691862582470589492535916926704670
0,35.5,3.3,2.26,12412238543339972949143636862830026679
0,36.0,3.6,-0.85,311473776429314651563617242648894750760
0,39.0,3.5,-0.71,282111896891151502049622484614473711652
0,28.0,2.9,-1.96,3145261074056550272164765419207208093
0,42.0,3.3,-1.13,75367698463437739405046925912399584890
0,43.0,3.5,0.74,161822518591316967397798149094229292070
0,43.0,3.1,0.29,56193923408068840516529186223271504269
0,35.0,3.2,-0.66,195409345646333257274880147257623734512
0,40.0,3.7,-0.43,235601807239118393295774952048053947910
0,42.0,2.5,-0.41,157283211071169688823683306665923388793
0,42.0,2.7,-0.02,127548157081497985191747777768021903109
0,40.0,3.7,0.21,73797220734961308699696237863653719684
0,38.0,3.5,1.61,2727073469352725618797172148611572340
0,40.0,3.3,-0.96,219164312768404634172897453586582703993
0,39.0,3.5,0.98,92628140683488767811314089871841234988
0,36.0,3.6,-0.58,296645242837461763918864325649251209025
0,38.0,3.6,-0.28,47884826451832587758120255276402562657
0,36.0,3.0,-1.19,145417691945414327109350396636969777892
0,39.0,3.2,-1.34,333808924462956026576926326782340900510
0,37.0,3.9,0.55,135215698512659613964486098964189398749
0,31.5,2.7,0.58,48219246363908631163507621555910797155
0,41.0,4.0,2.44,179820098142649362502699177515448750606
0,41.0,3.0,-1.45,159325268315438962113922926580758795880
0,36.0,3.3,1.04,64879985327054364798488106636494973353
0,35.0,3.8,-1.11,308258523619427881847109612954700677925
0,39.0,3.7,-1.58,187786760583391200235871620461276984423
0,37.0,3.8,0.4,197316947968720718877352854210420691157
0,37.0,3.1,-0.51,150104493148705912112829952977223962455
0,36.0,3.8,-0.66,303169706633538772386367703410697557195
0,40.0,3.3,-0.77,16675425489838826350321034516081623913
0,45.0,3.3,0.64,152791289001846766975526269797175531624
0,35.0,2.6,0.02,39885368015398510979882165015075546229
0,37.0,3.6,-0.02,258974289934247574516063397082886278047
0,40.0,3.8,0.64,75559132258264318242724675283158372811
0,39.0,3.4,0.4,186272691600147534261702032636828294390
0,33.0,3.9,0.59,142162834884509259923274731922884775011
0,40.0,3.6,0.55,163368242451595444567504572010056686050
0,38.0,3.8,0.55,87606234195035245054292777685552868243
0,41.0,3.3,0.64,320124455330953280139215766341021438150
0,34.0,2.9,-0.25,62971160983012100793391908043573547129
0,40.0,3.1,1.08,277581122097675880394587317330691481551
2,38.0,3.3,-0.02,275183654289194211895262570725417239545
0,40.0,3.2,1.89,337079134181632884937421049042023309681
0,32.5,3.4,-0.17,31866004249692840808016861674867465792
0,41.0,3.4,0.17,269564656224828868728243798520078907660
0,37.0,3.5,-0.13,95721991578896420685375512588101087329
0,41.0,3.3,1.51,9784276852094922436606921999309598524
0,39.0,3.6,-0.66,334496885051340184936824454560874421041
0,38.0,3.5,0.42,239894432423017199118936516086728729017
0,42.0,3.1,0.68,264220514915400364208765652242437716548
0,37.0,3.6,1.27,185039865899122557032591492463851420536
3,32.0,2.8,-1.28,202970627427143920646057085883091180507
0,39.0,3.6,-0.22,243636559461300001518367076039954634273
0,32.0,2.8,-1.09,3878340515565004842901117408081768749
0,41.0,3.1,-0.51,302073830534350190023295631176763716020
0,36.0,3.7,0.17,203950647295495265392312473114085577567
0,38.0,3.4,-1.19,168081102544761732164039290154659796148
0,34.0,3.3,1.02,286734534740796267649490782984783220396
0,38.0,3.6,0.36,49461148665454816486157193657821181813
0,43.0,2.9,0.59,36746683000257943664083980307447986747
0,35.0,3.7,0.64,217926144181483872257430246534547004858
2,37.0,3.6,-0.77,40019034189790301186702349975862934692
0,37.0,3.9,1.36,246339598962056773524991088644837901333
0,40.0,3.2,0.59,172282819818031616622574416559677462995
0,45.0,3.2,1.57,208795458849494460077658715570280729996
0,39.5,3.3,0.55,279593065120518789127139873336186624694
0,40.0,3.3,2.15,121771992875316557576611365307843978737
0,38.0,3.4,-1.0,89756613240062722602207373083365197508
0,40.0,3.4,1.36,289598692435441421612252266448400055022
5,32.5,2.8,-0.92,266403637239716525449017706694146926668
0,36.0,3.7,0.1,255432546109338708081418448825106866812
0,30.0,3.5,-1.75,100914001586636579351488828311128293167
0,37.0,3.7,0.74,128515476578828076075928633483899486085
6,35.5,3.0,-1.73,21422227270179537035827752224023395098
2,31.0,3.4,-0.23,234121863859509081236553539959611321617
0,36.0,2.7,-0.36,234465737480452713706106366505944797949
0,35.0,2.9,1.25,295264603305552033780194203085623630197
0,28.5,3.2,0.57,313061525385305542350868678402055358400
0,39.0,2.4,0.16,144113266228793901714350331566446844334
0,41.0,3.9,1.17,278534640342376520769438033349744052669
0,29.0,3.5,0.2,10403276020723509540859142523863150750
0,36.5,3.1,-0.56,52488985042374766372286582376382950375
0,39.0,3.8,-0.32,213800448978507626101920494655126608620
0,36.0,3.0,0.36,18791241960555269040331138534066100896
0,36.0,2.9,-0.8,303170718840221637772656939537500851818
0,36.0,2.9,0.89,326913421601798993159137961950426979795
0,37.0,2.8,0.77,87081234668573116328562788665176545158
0,38.0,3.2,0.48,141581778791977554896861441634732688043
0,31.5,3.1,0.36,45498595704524650257579418308247138784
