,race,LSAT,UGPA,ZFYA,fairScore
0,0,39.0,3.1,-0.98,38.91366637980439
1,0,36.0,3.0,0.09,36.757264183554916
2,0,30.0,3.1,-0.35,30.41726256161723
3,4,39.0,2.2,0.58,39.179041869968145
4,0,37.0,3.4,-1.26,36.757264183554916
5,0,30.5,3.6,0.3,30.41726256161723
6,0,36.0,3.6,-0.1,36.757264183554916
7,0,37.0,2.7,-0.12,36.757264183554916
8,0,37.0,2.6,1.53,36.757264183554916
9,0,31.0,3.6,0.34,30.41726256161723
10,0,41.0,3.2,1.53,41.130447198770625
11,0,35.0,3.1,-0.68,34.57730321089646
12,0,35.0,3.2,-0.17,34.57730321089646
13,0,35.0,2.9,-0.42,34.57730321089646
14,0,41.0,2.3,-0.35,41.130447198770625
15,0,30.5,3.3,0.85,30.41726256161723
16,0,36.0,3.0,0.04,36.757264183554916
17,0,40.0,3.9,2.48,41.130447198770625
18,0,36.0,3.4,0.27,36.757264183554916
19,0,29.0,2.7,0.88,28.36397895081746
20,0,37.0,3.2,0.58,36.757264183554916
21,0,30.0,3.1,1.99,30.41726256161723
22,0,40.0,3.1,-0.8,41.130447198770625
23,2,31.0,3.1,0.51,30.6935219105224
24,0,37.0,3.6,0.81,36.757264183554916
25,3,29.0,2.8,-1.03,29.368116621576966
26,0,34.0,2.8,-0.12,34.57730321089646
27,0,35.0,3.0,-0.61,34.57730321089646
28,0,40.0,3.4,-0.73,41.130447198770625
29,0,36.0,2.6,-0.63,36.757264183554916
30,0,29.0,2.9,-0.02,28.36397895081746
31,0,35.0,2.5,0.02,34.57730321089646
32,0,32.0,3.4,0.65,32.489412194785075
33,0,36.0,2.7,-0.05,36.757264183554916
34,0,36.0,3.3,0.53,36.757264183554916
35,0,36.0,2.5,-1.1,36.757264183554916
36,0,38.0,3.6,1.41,38.91366637980439
37,0,36.0,3.6,1.18,36.757264183554916
38,0,32.5,3.2,0.76,32.489412194785075
39,0,27.0,3.5,-1.05,26.35008146270513
40,0,36.0,2.4,0.39,36.757264183554916
41,3,19.0,3.2,-0.7,18.537056086017195
42,0,34.0,3.7,1.23,34.57730321089646
43,0,35.0,3.1,1.71,34.57730321089646
44,4,31.0,3.2,-0.82,31.00601438949191
45,0,36.0,2.8,-0.17,36.757264183554916
46,6,32.0,3.0,-0.63,32.94760690169464
47,0,38.0,3.7,-0.05,38.91366637980439
48,0,34.0,3.2,0.37,34.57730321089646
49,0,38.0,2.8,0.44,38.91366637980439
50,0,36.0,3.4,0.46,36.757264183554916
51,0,42.0,3.5,-0.42,43.325316413348574
52,0,29.0,2.3,-0.93,28.36397895081746
53,0,31.0,3.7,-0.49,30.41726256161723
54,3,23.0,2.6,0.48,22.950996334913793
55,0,37.0,3.8,0.72,36.757264183554916
56,0,33.0,3.3,-1.24,32.489412194785075
57,0,35.0,3.3,-0.7,34.57730321089646
58,0,36.0,3.2,0.83,36.757264183554916
59,0,35.5,2.4,-0.63,36.757264183554916
60,0,41.0,3.4,-0.05,41.130447198770625
61,0,34.0,3.5,0.55,34.57730321089646
62,2,27.0,2.9,-0.77,26.493419086395843
63,0,29.0,3.3,-0.98,28.36397895081746
64,0,33.0,3.3,1.27,32.489412194785075
65,0,32.0,2.9,-0.62,32.489412194785075
66,0,39.0,2.3,0.51,38.91366637980439
67,2,23.0,3.7,-0.17,22.02536014055032
68,0,39.0,3.4,-0.56,38.91366637980439
69,0,39.0,3.0,-0.42,38.91366637980439
70,0,32.0,3.8,-0.08,32.489412194785075
71,0,29.0,3.3,-1.19,28.36397895081746
72,0,31.0,3.0,-1.07,30.41726256161723
73,0,36.0,3.3,-0.49,36.757264183554916
74,3,27.0,2.4,-1.66,27.220225239564655
75,0,30.0,3.5,1.39,30.41726256161723
76,0,38.0,3.5,2.78,38.91366637980439
77,0,34.0,2.8,-0.63,34.57730321089646
78,0,37.0,3.7,1.32,36.757264183554916
79,4,36.0,2.7,-1.28,37.16422603751931
80,0,43.0,3.0,0.1,43.325316413348574
81,0,42.0,2.9,-0.62,43.325316413348574
82,0,33.5,3.4,0.69,34.57730321089646
83,0,25.0,2.9,-0.9,24.314810269694096
84,0,38.0,3.4,1.23,38.91366637980439
85,0,42.0,3.6,0.7,43.325316413348574
86,0,37.0,3.5,-1.64,36.757264183554916
87,0,29.5,3.5,-0.24,30.41726256161723
88,0,41.0,3.1,-0.05,41.130447198770625
89,0,38.0,3.6,-1.0,38.91366637980439
90,0,42.0,3.2,-0.22,43.325316413348574
91,0,35.5,3.3,2.26,36.757264183554916
92,0,36.0,3.6,-0.85,36.757264183554916
93,0,39.0,3.5,-0.71,38.91366637980439
94,0,28.0,2.9,-1.96,28.36397895081746
95,0,42.0,3.3,-1.13,43.325316413348574
96,0,43.0,3.5,0.74,43.325316413348574
97,0,43.0,3.1,0.29,43.325316413348574
98,0,35.0,3.2,-0.66,34.57730321089646
