,race,LSAT,UGPA,ZFYA,uuid,fairScore
0,0,39.0,3.1,-0.98,55063625309398085572921061138707293559,38.01995256899238
1,0,36.0,3.0,0.09,203829566813107168118099661312945278941,35.76900645844651
2,0,30.0,3.1,-0.35,57706321391077421628086688594773164754,28.675076064364358
3,4,39.0,2.2,0.58,312061551024311974673637643126863634383,41.23918142201012
4,0,37.0,3.4,-1.26,160487175331660763496452785346143427175,35.76900645844651
5,0,30.5,3.6,0.3,60927669005274773602724037276846954168,28.675076064364358
6,0,36.0,3.6,-0.1,179611166384751192985368761679615093651,35.76900645844651
7,0,37.0,2.7,-0.12,317972704746068905793022629557279352540,35.76900645844651
8,0,37.0,2.6,1.53,30151817224790704363859670068140426334,35.76900645844651
9,0,31.0,3.6,0.34,72677352355645761415645186105138187153,28.675076064364358
10,0,41.0,3.2,1.53,123506365758687365892567597155092689871,40.256554053108374
11,0,35.0,3.1,-0.68,286627303170230073877121636345793438307,33.44821967157165
12,0,35.0,3.2,-0.17,312358390766708927082201526235065570611,33.44821967157165
13,0,35.0,2.9,-0.42,86554595793592139446351426317795401613,33.44821967157165
14,0,41.0,2.3,-0.35,65073357620428515074459071660685154637,40.256554053108374
15,0,30.5,3.3,0.85,295408200336627773188823731069201766707,28.675076064364358
16,0,36.0,3.0,0.04,153203833262206972479464027768449401620,35.76900645844651
17,0,40.0,3.9,2.48,221722590056123706584749046197155740240,40.256554053108374
18,0,36.0,3.4,0.27,2326049654924554581003921223739802021,35.76900645844651
19,0,29.0,2.7,0.88,217088219758256928291981583076379708382,26.536393857324377
20,0,37.0,3.2,0.58,51755903102034820190029932630626607198,35.76900645844651
21,0,30.0,3.1,1.99,133341980051299248474762670044170546966,28.675076064364358
22,0,40.0,3.1,-0.8,157473757923739802965794201571702106710,40.256554053108374
23,2,31.0,3.1,0.51,180555178831495943236727962045714578554,31.119574770919996
24,0,37.0,3.6,0.81,50480013188148091701759701422966968344,35.76900645844651
25,3,29.0,2.8,-1.03,73629207380629851546543511978422864865,35.966785509708515
26,0,34.0,2.8,-0.12,87895507542920580987780326087126960602,33.44821967157165
27,0,35.0,3.0,-0.61,154483462951662665962905567426045685477,33.44821967157165
28,0,40.0,3.4,-0.73,4435359567579415655250416586660672538,40.256554053108374
29,0,36.0,2.6,-0.63,328205167554433404344126959878128455806,35.76900645844651
30,0,29.0,2.9,-0.02,317480843876353578876130380178172782439,26.536393857324377
31,0,35.0,2.5,0.02,96166323950375250670953588548627111233,33.44821967157165
32,0,32.0,3.4,0.65,162436459531237669339239389723195741288,30.8928681643817
33,0,36.0,2.7,-0.05,229764521307869008897243866752070703809,35.76900645844651
34,0,36.0,3.3,0.53,194751886329737961146264730810185246620,35.76900645844651
35,0,36.0,2.5,-1.1,293516210856713968275276222482560957487,35.76900645844651
36,0,38.0,3.6,1.41,111436488573622212592015155474122992941,38.01995256899238
37,0,36.0,3.6,1.18,319535390794221588939548858873320377896,35.76900645844651
38,0,32.5,3.2,0.76,36080876990171261296325870981893187127,30.8928681643817
39,0,27.0,3.5,-1.05,323420148050786227539236096218748785953,24.439714201369704
40,0,36.0,2.4,0.39,90816290532214958870436502681753424187,35.76900645844651
41,3,19.0,3.2,-0.7,565564229378376019966102333704867912,24.790111813131574
42,0,34.0,3.7,1.23,278783069663657106641920828651936931459,33.44821967157165
43,0,35.0,3.1,1.71,241348690498924268703640459424924988803,33.44821967157165
44,4,31.0,3.2,-0.82,305675741952749154264833659724888025453,33.728710161580196
45,0,36.0,2.8,-0.17,91486561954135447491612689865818688517,35.76900645844651
46,6,32.0,3.0,-0.63,297030004744675393305814176897577740599,33.88008641672728
47,0,38.0,3.7,-0.05,147661626434778316053270862408099394689,38.01995256899238
48,0,34.0,3.2,0.37,95884515463747940494466803560872702361,33.44821967157165
49,0,38.0,2.8,0.44,228470442652612340832238557188001829281,38.01995256899238
50,0,36.0,3.4,0.46,83028391545773203124845509169653626896,35.76900645844651
51,0,42.0,3.5,-0.42,211524225180498496795537508417334706861,42.54048443290867
52,0,29.0,2.3,-0.93,216109343045877397885114352288839768408,26.536393857324377
53,0,31.0,3.7,-0.49,340258637750700621371747087618284476730,28.675076064364358
54,3,23.0,2.6,0.48,77290483958811080766311326745343403166,29.723538788250025
55,0,37.0,3.8,0.72,28499922290925321896977002355738871204,35.76900645844651
56,0,33.0,3.3,-1.24,33797146665980532667554771163817506199,30.8928681643817
57,0,35.0,3.3,-0.7,197180561765106954606570946780330907690,33.44821967157165
58,0,36.0,3.2,0.83,144629050899151684150646395258835145527,35.76900645844651
59,0,35.5,2.4,-0.63,122513753982918256582364926568409238210,35.76900645844651
60,0,41.0,3.4,-0.05,258750158065998401866341875116552193174,40.256554053108374
61,0,34.0,3.5,0.55,117922693546620239723576385634165701048,33.44821967157165
62,2,27.0,2.9,-0.77,141185094207726682322743041409258865623,26.54513697826062
63,0,29.0,3.3,-0.98,226320644635396397723502388307724934080,26.536393857324377
64,0,33.0,3.3,1.27,38545536705210577765081319000276745390,30.8928681643817
65,0,32.0,2.9,-0.62,138599267902531595792420423630112946862,30.8928681643817
66,0,39.0,2.3,0.51,225263301634616202309237495348072609343,38.01995256899238
67,2,23.0,3.7,-0.17,141184685922906068814952402158737366528,21.0
68,0,39.0,3.4,-0.56,248148103322265169338530303575748046548,38.01995256899238
69,0,39.0,3.0,-0.42,172074126609045253974234721420393564126,38.01995256899238
