sex,LSAT,UGPA,ZFYA,uuid
1,39.0,3.1,-0.98,8740140157894070761
1,36.0,3.0,0.09,8740140162189038057
0,30.0,3.1,-0.35,8740140166484005353
0,39.0,2.2,0.58,8740140170778972649
1,37.0,3.4,-1.26,8740140175073939945
1,30.5,3.6,0.3,8740140179368907241
0,36.0,3.6,-0.1,8740140183663874537
0,37.0,2.7,-0.12,8740140187958841833
1,37.0,2.6,1.53,8740140192253809129
0,31.0,3.6,0.34,8740140196548776425
0,41.0,3.2,1.53,8740140200843743721
0,35.0,3.1,-0.68,8740140205138711017
1,35.0,3.2,-0.17,8740140209433678313
0,35.0,2.9,-0.42,8740140213728645609
0,41.0,2.3,-0.35,8740140218023612905
0,30.5,3.3,0.85,8740140222318580201
1,36.0,3.0,0.04,8740140226613547497
0,40.0,3.9,2.48,8740140230908514793
0,36.0,3.4,0.27,8740140235203482089
0,29.0,2.7,0.88,8740140239498449385
0,37.0,3.2,0.58,8740140243793416681
0,30.0,3.1,1.99,8740140248088383977
0,40.0,3.1,-0.8,8740140252383351273
0,31.0,3.1,0.51,8740140256678318569
1,37.0,3.6,0.81,8740140260973285865
0,29.0,2.8,-1.03,8740140265268253161
0,34.0,2.8,-0.12,8740140269563220457
0,35.0,3.0,-0.61,8740140273858187753
0,40.0,3.4,-0.73,8740140278153155049
0,36.0,2.6,-0.63,8740140282448122345
0,29.0,2.9,-0.02,8740140286743089641
0,35.0,2.5,0.02,8740140291038056937
0,32.0,3.4,0.65,8740140295333024233
1,36.0,2.7,-0.05,8740140299627991529
0,36.0,3.3,0.53,8740140303922958825
0,36.0,2.5,-1.1,8740140308217926121
0,38.0,3.6,1.41,8740140312512893417
0,36.0,3.6,1.18,8740140316807860713
0,32.5,3.2,0.76,8740140321102828009
1,27.0,3.5,-1.05,8740140325397795305
0,36.0,2.4,0.39,8740140329692762601
1,19.0,3.2,-0.7,8740140333987729897
1,34.0,3.7,1.23,8740140338282697193
1,35.0,3.1,1.71,8740140342577664489
1,31.0,3.2,-0.82,8740140346872631785
0,36.0,2.8,-0.17,8740140351167599081
0,32.0,3.0,-0.63,8740140355462566377
1,38.0,3.7,-0.05,8740140359757533673
0,34.0,3.2,0.37,8740140364052500969
0,38.0,2.8,0.44,8740140368347468265
1,36.0,3.4,0.46,8740140372642435561
1,42.0,3.5,-0.42,8740140376937402857
0,29.0,2.3,-0.93,8740140381232370153
0,31.0,3.7,-0.49,8740140385527337449
1,23.0,2.6,0.48,8740140389822304745
0,37.0,3.8,0.72,8740140394117272041
1,33.0,3.3,-1.24,8740140398412239337
0,35.0,3.3,-0.7,8740140402707206633
0,36.0,3.2,0.83,8740140407002173929
0,35.5,2.4,-0.63,8740140411297141225
0,41.0,3.4,-0.05,8740140415592108521
1,34.0,3.5,0.55,8740140419887075817
1,27.0,2.9,-0.77,8740140424182043113
0,29.0,3.3,-0.98,8740140428477010409
1,33.0,3.3,1.27,8740140432771977705
0,32.0,2.9,-0.62,8740140437066945001
0,39.0,2.3,0.51,8740140441361912297
0,23.0,3.7,-0.17,8740140445656879593
1,39.0,3.4,-0.56,8740140449951846889
1,39.0,3.0,-0.42,8740140454246814185
1,32.0,3.8,-0.08,8740140458541781481
0,29.0,3.3,-1.19,8740140462836748777
0,31.0,3.0,-1.07,8740140467131716073
1,36.0,3.3,-0.49,8740140471426683369
0,27.0,2.4,-1.66,8740140475721650665
0,30.0,3.5,1.39,8740140480016617961
0,38.0,3.5,2.78,8740140484311585257
1,34.0,2.8,-0.63,8740140488606552553
0,37.0,3.7,1.32,8740140492901519849
1,36.0,2.7,-1.28,8740140497196487145
0,43.0,3.0,0.1,8740140501491454441
0,42.0,2.9,-0.62,8740140505786421737
0,33.5,3.4,0.69,8740140510081389033
0,25.0,2.9,-0.9,8740140514376356329
1,38.0,3.4,1.23,8740140518671323625
0,42.0,3.6,0.7,8740140522966290921
0,37.0,3.5,-1.64,8740140527261258217
0,29.5,3.5,-0.24,8740140531556225513
0,41.0,3.1,-0.05,8740140535851192809
1,38.0,3.6,-1.0,8740140540146160105
1,42.0,3.2,-0.22,8740140544441127401
1,35.5,3.3,2.26,8740140548736094697
1,36.0,3.6,-0.85,8740140553031061993
1,39.0,3.5,-0.71,8740140557326029289
0,28.0,2.9,-1.96,8740140561620996585
1,42.0,3.3,-1.13,8740140565915963881
1,43.0,3.5,0.74,8740140570210931177
0,43.0,3.1,0.29,8740140574505898473
0,35.0,3.2,-0.66,8740140578800865769
0,40.0,3.7,-0.43,8740140583095833065
1,42.0,2.5,-0.41,8740140587390800361
1,42.0,2.7,-0.02,8740140591685767657
1,40.0,3.7,0.21,8740140595980734953
1,38.0,3.5,1.61,8740140600275702249
0,40.0,3.3,-0.96,8740140604570669545
1,39.0,3.5,0.98,8740140608865636841
1,36.0,3.6,-0.58,8740140613160604137
1,38.0,3.6,-0.28,8740140617455571433
0,36.0,3.0,-1.19,8740140621750538729
0,39.0,3.2,-1.34,8740140626045506025
1,37.0,3.9,0.55,8740140630340473321
0,31.5,2.7,0.58,8740140634635440617
1,41.0,4.0,2.44,8740140638930407913
0,41.0,3.0,-1.45,8740140643225375209
1,36.0,3.3,1.04,8740140647520342505
0,35.0,3.8,-1.11,8740140651815309801
1,39.0,3.7,-1.58,8740140656110277097
1,37.0,3.8,0.4,8740140660405244393
0,37.0,3.1,-0.51,8740140664700211689
0,36.0,3.8,-0.66,8740140668995178985
