,sex,LSAT,UGPA,ZFYA,uuid,fairScore
0,1,39.0,3.1,-0.98,64ec432f-5942-4ca0-b3d6-4ba5fcf387e0,39.08247249381067
1,1,36.0,3.0,0.09,e31e82b2-893f-4a1c-b04a-37c6d5ba249f,36.875775344863534
2,0,30.0,3.1,-0.35,54b8f7fa-f5b1-4016-b1ed-81872fdec793,30.557155297466167
3,0,39.0,2.2,0.58,2ee8fff9-6be9-478a-a9b0-59290303995f,38.947657559761005
4,1,37.0,3.4,-1.26,3b8e058c-031a-4cb3-bd9c-c0c2d8430d2b,36.875775344863534
5,1,30.5,3.6,0.3,4598bd55-dd8b-4931-b70a-2da7c919dd2d,30.671193910989064
6,0,36.0,3.6,-0.1,c4693706-62be-4b10-ad20-3f2edd58804b,36.820769911407766
7,0,37.0,2.7,-0.12,6cb0ebbc-75e4-4fad-9f31-7f6830c5bd1e,36.820769911407766
8,1,37.0,2.6,1.53,288218c9-687e-4be8-911d-76c382b00331,36.875775344863534
9,0,31.0,3.6,0.34,d14ba4f8-9c76-45a6-a26a-8845e16902ee,30.557155297466167
10,0,41.0,3.2,1.53,c560f371-81a2-4ff1-b956-40a57d24a2fc,41.128086880515056
11,0,35.0,3.1,-0.68,940e0f0b-f593-453d-872a-d12cfa2af74c,34.6927049560748
12,1,35.0,3.2,-0.17,79838876-33e5-469c-a0bb-c457760b315f,34.761764722637
13,0,35.0,2.9,-0.42,00d400b5-8f38-4371-8a21-5540ee0ca905,34.6927049560748
14,0,41.0,2.3,-0.35,388006c1-6fa7-46d9-8cf9-acd44cca345a,41.128086880515056
15,0,30.5,3.3,0.85,9e1cc910-159f-47e8-bd91-64de0b8a2ec4,30.557155297466167
16,1,36.0,3.0,0.04,38d48cd1-1995-43fe-8fe4-5d37b66ffe4e,36.875775344863534
17,0,40.0,3.9,2.48,38eac286-3a8a-40f5-a12c-c7abfeb98239,41.128086880515056
18,0,36.0,3.4,0.27,e930af39-8b60-4229-90a2-b89f3a9ab551,36.820769911407766
19,0,29.0,2.7,0.88,72ed538a-045e-453c-a416-b6a95d60b64c,28.529235516974047
20,0,37.0,3.2,0.58,caa9b285-422d-4e9f-8fa7-72b9b902134d,36.820769911407766
21,0,30.0,3.1,1.99,14ddfa0e-7f11-457b-bd82-2c6fdfa082bb,30.557155297466167
22,0,40.0,3.1,-0.8,1d97813d-b12d-42d3-b300-af8841cb792e,41.128086880515056
23,0,31.0,3.1,0.51,6707396d-4109-4c8a-886d-e78c65497132,30.557155297466167
24,1,37.0,3.6,0.81,656621fe-ea46-437f-8221-4d3e95a79ca1,36.875775344863534
25,0,29.0,2.8,-1.03,2b5fe4c9-4811-434e-b167-1dd06717622d,28.529235516974047
26,0,34.0,2.8,-0.12,e2358683-8524-488a-a949-164379e11abe,34.6927049560748
27,0,35.0,3.0,-0.61,ca6426f4-261e-4ca5-b470-97720120d018,34.6927049560748
28,0,40.0,3.4,-0.73,3620fcee-9ca6-4d62-a17c-bfb7ec69ba89,41.128086880515056
29,0,36.0,2.6,-0.63,b0f41aea-4e48-4a47-9285-765dcd462d59,36.820769911407766
30,0,29.0,2.9,-0.02,8a09af51-03a8-42b3-8666-c0dfc9032082,28.529235516974047
31,0,35.0,2.5,0.02,d839017a-71b0-43fd-91bf-a799a65a0fac,34.6927049560748
32,0,32.0,3.4,0.65,ffea0a35-9818-42de-9836-4dfb8c034fed,32.630521057083385
33,1,36.0,2.7,-0.05,0c3df29a-c0e3-4293-ba46-7587cf15b88e,36.875775344863534
34,0,36.0,3.3,0.53,4a4c30cc-403a-4160-9273-975cf27e6b44,36.820769911407766
35,0,36.0,2.5,-1.1,ffcfd85e-e655-4c98-b2f1-5ff3de88f881,36.820769911407766
36,0,38.0,3.6,1.41,f80f5aa7-37d6-400a-b29e-9ef92365a19d,38.947657559761005
37,0,36.0,3.6,1.18,ec708a66-995f-453f-9c75-ec2ed6a62c0f,36.820769911407766
38,0,32.5,3.2,0.76,39b3b812-2eab-41dd-9864-2c31f3bc846e,32.630521057083385
39,1,27.0,3.5,-1.05,e3947b0f-b33d-4124-b36b-740344aea98d,26.60000473261776
40,0,36.0,2.4,0.39,9fcd82fa-0908-47b9-b4ee-5168d02a38b9,36.820769911407766
41,1,19.0,3.2,-0.7,3f50687a-136e-4fd6-ab27-c6559c44f659,18.599769320217522
42,1,34.0,3.7,1.23,3eb20527-769c-4c8b-ac0b-f9ced4624fbc,34.761764722637
43,1,35.0,3.1,1.71,4cd11b04-7245-41d2-839f-fc4fcb94e09d,34.761764722637
44,1,31.0,3.2,-0.82,d5ca5aaf-1f93-43a1-b8ac-582df200f89c,30.671193910989064
45,0,36.0,2.8,-0.17,3fd3e81d-5a95-4705-a7cd-59f649094c01,36.820769911407766
46,0,32.0,3.0,-0.63,21f25b1d-4583-43a3-bec5-6adaf5f7a845,32.630521057083385
47,1,38.0,3.7,-0.05,661c0738-f477-420d-b11d-5e147f8275fd,39.08247249381067
48,0,34.0,3.2,0.37,6d924540-c416-41de-8be7-e59e73882864,34.6927049560748
49,0,38.0,2.8,0.44,bbe5834b-041c-455b-ba1b-34231fc0c616,38.947657559761005
50,1,36.0,3.4,0.46,5dc57af7-bf09-49d4-a875-16580e2175b2,36.875775344863534
51,1,42.0,3.5,-0.42,a9447e93-53e4-42a0-a21f-059eb9073686,43.42322543186827
52,0,29.0,2.3,-0.93,ca3379e8-796c-45be-b81c-92ec70d6d1b9,28.529235516974047
53,0,31.0,3.7,-0.49,969ee590-fc04-4fe3-9f8e-05481889a9a6,30.557155297466167
54,1,23.0,2.6,0.48,e1d5c8b2-6ef7-45b0-86e7-5a689728556a,22.548634502475046
55,0,37.0,3.8,0.72,e75ef603-50b5-45c5-88ae-a71dbd1f9d68,36.820769911407766
56,1,33.0,3.3,-1.24,3b8ca99a-d4b8-402d-9685-0fbb5d64e3ec,32.718512381198344
57,0,35.0,3.3,-0.7,8923fd8d-8821-43b8-8b1e-6dbb14aa45c6,34.6927049560748
58,0,36.0,3.2,0.83,bc4bea5a-db6b-4bc7-b68e-a5d556129b82,36.820769911407766
59,0,35.5,2.4,-0.63,43592741-3496-4579-b61c-da61b8d7f67d,36.820769911407766
60,0,41.0,3.4,-0.05,3ed9bba8-d60f-45d8-8237-4198e7e9566c,41.128086880515056
61,1,34.0,3.5,0.55,154593fc-de60-4318-8736-051e02ae21f4,34.761764722637
62,1,27.0,2.9,-0.77,d250bc5b-e024-4c97-be10-f1299d30e91a,26.60000473261776
63,0,29.0,3.3,-0.98,bb7a83c3-30d2-4980-a7bc-4b49f83e305b,28.529235516974047
64,1,33.0,3.3,1.27,5f7e882b-d4a9-4863-9d69-eaf3955ff48a,32.718512381198344
65,0,32.0,2.9,-0.62,68e9ce4c-0f5d-489b-85c8-8994d0c31109,32.630521057083385
66,0,39.0,2.3,0.51,d8b61d6c-f2e1-4375-a8c0-3343bc1dcd4f,38.947657559761005
67,0,23.0,3.7,-0.17,906a98d9-fc2d-45b7-b0ef-a182c30ef300,22.523118998142216
68,1,39.0,3.4,-0.56,97d0a6bf-441b-4166-bb9f-b40341b0eb95,39.08247249381067
69,1,39.0,3.0,-0.42,e4e8436b-9bc4-43f5-8bb2-32422a45f07f,39.08247249381067
70,1,32.0,3.8,-0.08,23846a8f-7395-49a0-862c-d3e40d3ef520,32.718512381198344
71,0,29.0,3.3,-1.19,41e3e7dd-506d-4a3b-b6f5-6a4ed6106e34,28.529235516974047
72,0,31.0,3.0,-1.07,2ae7fecd-de02-494d-9cb8-a8647e0e1113,30.557155297466167
73,1,36.0,3.3,-0.49,6486da01-7296-499e-bea0-c41cdafabe28,36.875775344863534
74,0,27.0,2.4,-1.66,4eabd911-a99e-4b71-b7b4-4267be392c52,26.566431041439046
75,0,30.0,3.5,1.39,437083ff-4453-4039-8c37-191ed346bf2f,30.557155297466167
76,0,38.0,3.5,2.78,464746a5-8dbb-4979-bc91-450083acbf6d,38.947657559761005
77,1,34.0,2.8,-0.63,a07f3e6a-f7fe-4cff-9672-240032544d65,34.761764722637
78,0,37.0,3.7,1.32,8bf917a5-87dc-4054-81b4-492bde10734d,36.820769911407766
79,1,36.0,2.7,-1.28,3729043b-3dfe-4f84-8bf1-1097e0c34906,36.875775344863534
80,0,43.0,3.0,0.1,fd162fe9-b0b6-4a30-b9c5-d0a6f84f7196,43.32010792650486
81,0,42.0,2.9,-0.62,2efdeb6a-c9a5-4369-ad4c-0fc07b0d68eb,43.32010792650486
82,0,33.5,3.4,0.69,dfe65824-41e5-48a6-af52-7e42d875715c,34.6927049560748
83,0,25.0,2.9,-0.9,70db3512-448b-48a3-a805-4b4898617038,24.614570832819524
84,1,38.0,3.4,1.23,1bf59805-2966-4869-bdb4-d38fea1b1892,39.08247249381067
85,0,42.0,3.6,0.7,e470659c-a117-4c6a-b302-74b41af5a346,43.32010792650486
86,0,37.0,3.5,-1.64,e9c140ef-f9c0-4ded-b5c9-aa2ac977f0c0,36.820769911407766
87,0,29.5,3.5,-0.24,f126a1ad-a96c-415e-869b-ab48ed76620e,30.557155297466167
88,0,41.0,3.1,-0.05,cc3eef50-6540-449d-b992-49235e3b13d5,41.128086880515056
89,1,38.0,3.6,-1.0,62517eb5-6c49-4318-bc22-a6fdfa68b0b5,39.08247249381067
90,1,42.0,3.2,-0.22,74c4e793-042d-4f72-b618-cdd02c1a9967,43.42322543186827
91,1,35.5,3.3,2.26,aaae9ea6-f437-4082-85c0-be26c71a65b8,36.875775344863534
92,1,36.0,3.6,-0.85,4c405b24-40fd-4bb2-a338-a938649aa531,36.875775344863534
93,1,39.0,3.5,-0.71,20dccbfc-bef0-4c81-9c10-8f05a2cab9ba,39.08247249381067
94,0,28.0,2.9,-1.96,87fdf721-3dbd-4166-89de-706104ef6c2f,28.529235516974047
95,1,42.0,3.3,-1.13,1bb80252-6459-4aa4-aab5-69998e692025,43.42322543186827
96,1,43.0,3.5,0.74,8a28f8d7-e14c-4ae5-9826-22d41c49f565,43.42322543186827
97,0,43.0,3.1,0.29,e7cee28d-35a7-49c9-a312-95e4066f1ff5,43.32010792650486
98,0,35.0,3.2,-0.66,57588dd4-de9a-4c0f-aa8f-8ba24c5700e4,34.6927049560748
99,0,40.0,3.7,-0.43,6452c7bc-16b2-4c0a-ab8c-1ce66d1e4afc,41.128086880515056
100,1,42.0,2.5,-0.41,335a5210-a6b3-4a18-8519-add0811d3604,43.42322543186827
101,1,42.0,2.7,-0.02,54274e5d-1696-4b03-9393-b072966b5ddc,43.42322543186827
102,1,40.0,3.7,0.21,813b275a-a7e5-4324-a6ae-c570e4de92e4,41.22630579874763
103,1,38.0,3.5,1.61,e19d1b9d-3801-498d-95c3-34e3a1dbeb2e,39.08247249381067
104,0,40.0,3.3,-0.96,ecd06670-f280-466c-8cd5-e5a9db761ad3,41.128086880515056
105,1,39.0,3.5,0.98,6937c75a-c63a-4f44-be9b-721a308d513f,39.08247249381067
106,1,36.0,3.6,-0.58,f34b1882-7a4f-42f5-8aca-7860ac7f561c,36.875775344863534
107,1,38.0,3.6,-0.28,ef594828-84ec-472a-ba26-cd53f2a8691b,39.08247249381067
108,0,36.0,3.0,-1.19,b6d00d86-a071-41c5-a707-0cf284125329,36.820769911407766
109,0,39.0,3.2,-1.34,c518db37-b608-4d2d-ae51-930b72b65f46,38.947657559761005
110,1,37.0,3.9,0.55,dd562703-86f2-4e1a-bdcb-4a2b75439410,36.875775344863534
111,0,31.5,2.7,0.58,f7396336-a1c4-4d78-8296-4ab1f82fa86e,32.630521057083385
112,1,41.0,4.0,2.44,80b201de-13f0-4e8b-b896-11d26b73e2f8,41.22630579874763
113,0,41.0,3.0,-1.45,07c3c77e-2987-4657-b7db-4101d5db4f35,41.128086880515056
114,1,36.0,3.3,1.04,0f418f89-15aa-4472-a6a7-5b06af74d65b,36.875775344863534
115,0,35.0,3.8,-1.11,cbf789c5-b82f-4df3-adc7-d5e328955870,34.6927049560748
116,1,39.0,3.7,-1.58,d0fbd6d5-057d-4a54-ac88-3ecc9e8f5ac1,39.08247249381067
117,1,37.0,3.8,0.4,92863ba2-821a-4ed1-a272-65b42bc932c7,36.875775344863534
118,0,37.0,3.1,-0.51,43383717-bd8a-43b2-ae4a-83951c96a0c3,36.820769911407766
119,0,36.0,3.8,-0.66,426d1cf7-cc94-49fd-a327-fdb323619c00,36.820769911407766
120,0,40.0,3.3,-0.77,13e09c1a-79b6-49e7-b50d-c8753157c042,41.128086880515056
121,1,45.0,3.3,0.64,5dac5a3a-bea3-45ce-9f70-8e81254e5c2e,45.39589972179137
122,0,35.0,2.6,0.02,0cd3aed5-c252-4eb5-987c-6546cfacb8c1,34.6927049560748
123,1,37.0,3.6,-0.02,6e977565-cc88-4d89-b533-f33736191639,36.875775344863534
124,0,40.0,3.8,0.64,ce2b9de5-707a-4fa3-88fe-8853bd3d484c,41.128086880515056
125,0,39.0,3.4,0.4,72e3655f-1268-47af-86db-773113c58cc4,38.947657559761005
126,0,33.0,3.9,0.59,e84c69bb-9e13-42fe-a741-225fca1af7a0,32.630521057083385
