,sex,LSAT,UGPA,ZFYA,fairScore
0,1,39.0,3.1,-0.98,39.50881179099064
1,1,36.0,3.0,0.09,37.365151536881505
2,0,30.0,3.1,-0.35,29.843534062096946
3,0,39.0,2.2,0.58,38.59153295217082
4,1,37.0,3.4,-1.26,37.365151536881505
5,1,30.5,3.6,0.3,30.853478459995404
6,0,36.0,3.6,-0.1,36.41346478420596
7,0,37.0,2.7,-0.12,36.41346478420596
8,1,37.0,2.6,1.53,37.365151536881505
9,0,31.0,3.6,0.34,29.843534062096946
10,0,41.0,3.2,1.53,40.721656787614336
11,0,35.0,3.1,-0.68,34.207678710157104
12,1,35.0,3.2,-0.17,35.17017203352973
13,0,35.0,2.9,-0.42,34.207678710157104
14,0,41.0,2.3,-0.35,40.721656787614336
15,0,30.5,3.3,0.85,29.843534062096946
16,1,36.0,3.0,0.04,37.365151536881505
17,0,40.0,3.9,2.48,40.721656787614336
18,0,36.0,3.4,0.27,36.41346478420596
19,0,29.0,2.7,0.88,27.650038935489906
20,0,37.0,3.2,0.58,36.41346478420596
21,0,30.0,3.1,1.99,29.843534062096946
22,0,40.0,3.1,-0.8,40.721656787614336
23,0,31.0,3.1,0.51,29.843534062096946
24,1,37.0,3.6,0.81,37.365151536881505
25,0,29.0,2.8,-1.03,27.650038935489906
26,0,34.0,2.8,-0.12,34.207678710157104
27,0,35.0,3.0,-0.61,34.207678710157104
28,0,40.0,3.4,-0.73,40.721656787614336
29,0,36.0,2.6,-0.63,36.41346478420596
30,0,29.0,2.9,-0.02,27.650038935489906
31,0,35.0,2.5,0.02,34.207678710157104
32,0,32.0,3.4,0.65,32.017492169171646
33,1,36.0,2.7,-0.05,37.365151536881505
34,0,36.0,3.3,0.53,36.41346478420596
35,0,36.0,2.5,-1.1,36.41346478420596
36,0,38.0,3.6,1.41,38.59153295217082
37,0,36.0,3.6,1.18,36.41346478420596
38,0,32.5,3.2,0.76,32.017492169171646
39,1,27.0,3.5,-1.05,26.764884964683947
40,0,36.0,2.4,0.39,36.41346478420596
41,1,19.0,3.2,-0.7,18.798987668858302
42,1,34.0,3.7,1.23,35.17017203352973
43,1,35.0,3.1,1.71,35.17017203352973
44,1,31.0,3.2,-0.82,30.853478459995404
45,0,36.0,2.8,-0.17,36.41346478420596
46,0,32.0,3.0,-0.63,32.017492169171646
47,1,38.0,3.7,-0.05,39.50881179099064
48,0,34.0,3.2,0.37,34.207678710157104
49,0,38.0,2.8,0.44,38.59153295217082
50,1,36.0,3.4,0.46,37.365151536881505
51,1,42.0,3.5,-0.42,43.892828873340214
52,0,29.0,2.3,-0.93,27.650038935489906
53,0,31.0,3.7,-0.49,29.843534062096946
54,1,23.0,2.6,0.48,22.685237964276627
55,0,37.0,3.8,0.72,36.41346478420596
56,1,33.0,3.3,-1.24,32.921753595657464
57,0,35.0,3.3,-0.7,34.207678710157104
58,0,36.0,3.2,0.83,36.41346478420596
59,0,35.5,2.4,-0.63,36.41346478420596
60,0,41.0,3.4,-0.05,40.721656787614336
61,1,34.0,3.5,0.55,35.17017203352973
62,1,27.0,2.9,-0.77,26.764884964683947
63,0,29.0,3.3,-0.98,27.650038935489906
64,1,33.0,3.3,1.27,32.921753595657464
65,0,32.0,2.9,-0.62,32.017492169171646
66,0,39.0,2.3,0.51,38.59153295217082
67,0,23.0,3.7,-0.17,21.551964612425838
68,1,39.0,3.4,-0.56,39.50881179099064
69,1,39.0,3.0,-0.42,39.50881179099064
70,1,32.0,3.8,-0.08,32.921753595657464
71,0,29.0,3.3,-1.19,27.650038935489906
72,0,31.0,3.0,-1.07,29.843534062096946
73,1,36.0,3.3,-0.49,37.365151536881505
74,0,27.0,2.4,-1.66,25.55400660018916
75,0,30.0,3.5,1.39,29.843534062096946
76,0,38.0,3.5,2.78,38.59153295217082
77,1,34.0,2.8,-0.63,35.17017203352973
78,0,37.0,3.7,1.32,36.41346478420596
79,1,36.0,2.7,-1.28,37.365151536881505
80,0,43.0,3.0,0.1,43.19111506898679
81,0,42.0,2.9,-0.62,43.19111506898679
82,0,33.5,3.4,0.69,34.207678710157104
83,0,25.0,2.9,-0.9,23.563039570258294
84,1,38.0,3.4,1.23,39.50881179099064
85,0,42.0,3.6,0.7,43.19111506898679
86,0,37.0,3.5,-1.64,36.41346478420596
87,0,29.5,3.5,-0.24,29.843534062096946
88,0,41.0,3.1,-0.05,40.721656787614336
89,1,38.0,3.6,-1.0,39.50881179099064
90,1,42.0,3.2,-0.22,43.892828873340214
91,1,35.5,3.3,2.26,37.365151536881505
92,1,36.0,3.6,-0.85,37.365151536881505
93,1,39.0,3.5,-0.71,39.50881179099064
94,0,28.0,2.9,-1.96,27.650038935489906
95,1,42.0,3.3,-1.13,43.892828873340214
96,1,43.0,3.5,0.74,43.892828873340214
97,0,43.0,3.1,0.29,43.19111506898679
98,0,35.0,3.2,-0.66,34.207678710157104
99,0,40.0,3.7,-0.43,40.721656787614336
100,1,42.0,2.5,-0.41,43.892828873340214
101,1,42.0,2.7,-0.02,43.892828873340214
102,1,40.0,3.7,0.21,41.67656281304559
103,1,38.0,3.5,1.61,39.50881179099064
104,0,40.0,3.3,-0.96,40.721656787614336
105,1,39.0,3.5,0.98,39.50881179099064
106,1,36.0,3.6,-0.58,37.365151536881505
107,1,38.0,3.6,-0.28,39.50881179099064
108,0,36.0,3.0,-1.19,36.41346478420596
109,0,39.0,3.2,-1.34,38.59153295217082
110,1,37.0,3.9,0.55,37.365151536881505
111,0,31.5,2.7,0.58,32.017492169171646
112,1,41.0,4.0,2.44,41.67656281304559
113,0,41.0,3.0,-1.45,40.721656787614336
114,1,36.0,3.3,1.04,37.365151536881505
115,0,35.0,3.8,-1.11,34.207678710157104
116,1,39.0,3.7,-1.58,39.50881179099064
117,1,37.0,3.8,0.4,37.365151536881505
118,0,37.0,3.1,-0.51,36.41346478420596
119,0,36.0,3.8,-0.66,36.41346478420596
120,0,40.0,3.3,-0.77,40.721656787614336
121,1,45.0,3.3,0.64,45.97197194861029
122,0,35.0,2.6,0.02,34.207678710157104
123,1,37.0,3.6,-0.02,37.365151536881505
124,0,40.0,3.8,0.64,40.721656787614336
125,0,39.0,3.4,0.4,38.59153295217082
126,0,33.0,3.9,0.59,32.017492169171646
127,0,40.0,3.6,0.55,40.721656787614336
128,0,38.0,3.8,0.55,38.59153295217082
129,1,41.0,3.3,0.64,41.67656281304559
130,0,34.0,2.9,-0.25,34.207678710157104
131,0,40.0,3.1,1.08,40.721656787614336
132,1,38.0,3.3,-0.02,39.50881179099064
133,1,40.0,3.2,1.89,41.67656281304559
134,0,32.5,3.4,-0.17,32.017492169171646
135,1,41.0,3.4,0.17,41.67656281304559
136,1,37.0,3.5,-0.13,37.365151536881505
137,0,41.0,3.3,1.51,40.721656787614336
138,1,39.0,3.6,-0.66,39.50881179099064
139,0,38.0,3.5,0.42,38.59153295217082
140,0,42.0,3.1,0.68,43.19111506898679
141,1,37.0,3.6,1.27,37.365151536881505
142,1,32.0,2.8,-1.28,32.921753595657464
143,1,39.0,3.6,-0.22,39.50881179099064
144,1,32.0,2.8,-1.09,32.921753595657464
145,0,41.0,3.1,-0.51,40.721656787614336
146,1,36.0,3.7,0.17,37.365151536881505
147,0,38.0,3.4,-1.19,38.59153295217082
148,0,34.0,3.3,1.02,34.207678710157104
149,0,38.0,3.6,0.36,38.59153295217082
150,0,43.0,2.9,0.59,43.19111506898679
151,1,35.0,3.7,0.64,35.17017203352973
152,0,37.0,3.6,-0.77,36.41346478420596
153,1,37.0,3.9,1.36,37.365151536881505
154,0,40.0,3.2,0.59,40.721656787614336
155,1,45.0,3.2,1.57,45.97197194861029
156,0,39.5,3.3,0.55,40.721656787614336
157,0,40.0,3.3,2.15,40.721656787614336
158,1,38.0,3.4,-1.0,39.50881179099064
159,0,40.0,3.4,1.36,40.721656787614336
160,1,32.5,2.8,-0.92,32.921753595657464
161,0,36.0,3.7,0.1,36.41346478420596
162,1,30.0,3.5,-1.75,30.853478459995404
163,0,37.0,3.7,0.74,36.41346478420596
164,1,35.5,3.0,-1.73,37.365151536881505
165,1,31.0,3.4,-0.23,30.853478459995404
166,0,36.0,2.7,-0.36,36.41346478420596
167,1,35.0,2.9,1.25,35.17017203352973
168,1,28.5,3.2,0.57,28.813945574957486
