gender,ethnicity,score
0,0,5.205198637377462
0,1,7.048461506979662
0,1,7.546775834408829
0,2,2.4645683257613835
1,1,7.502766246090053
0,0,3.408478299831458
1,0,7.5835171611415655
1,0,7.662077026438798
1,1,7.5943175694003475
1,2,0.5458068029197144
1,0,7.854616157990842
0,1,7.127524396100189
1,0,7.332209401998118
1,1,7.344603298033448
0,1,6.940035822799776
0,1,7.133686452017507
0,2,2.25532995225985
0,1,7.416469871562226
1,0,7.7597671519001
1,0,7.590946432009797
1,0,8.182397425524595
0,1,7.573217396656254
1,1,7.5179995988667025
0,0,5.646224919839656
0,0,5.917012256170315
0,0,5.14786474898336
0,2,2.3541833737475177
0,0,4.991426679249899
0,2,2.220999319205185
1,2,0.03970115982364242
0,0,3.7849876691195554
1,0,8.036799216039233
1,1,7.371231450605725
0,1,7.371667882549081
1,0,6.928988682323249
0,1,7.127466442279119
0,2,2.156705709295134
1,1,7.451839170870746
1,2,0.05483690661661067
1,2,0.02567791268992692
1,1,7.57965450648904
0,2,2.3035940379657047
0,1,7.611223820763742
1,2,1.47587155366692
1,1,7.512164028306636
1,2,-0.4575271207878697
0,1,7.237437160656434
1,0,8.038058133738152
0,0,4.188547053119828
0,2,1.9483973529882812
1,1,7.321432211563131
1,0,8.315992930801855
1,2,1.200072866608306
1,1,7.518056543983272
1,0,7.307799261598421
1,0,7.026636393111463
1,1,7.38666425343913
1,2,0.15675480688371857
0,1,7.432909026839393
0,1,7.7665345142234905
0,0,3.475474513749816
0,2,2.526293962287678
0,2,2.356171350082771
0,0,5.238007961783638
0,1,7.319456047426323
0,2,2.2587919770716476
0,0,5.851465538937231
0,0,5.068489242761656
0,0,4.10438381760443
1,1,7.481323353511445
1,2,-0.21540740005879844
1,2,1.1012483149390748
1,2,0.1289185792843508
0,1,7.167424030515248
1,2,0.8010410089534891
1,1,7.590914589229916
1,0,7.532816975239921
0,1,7.110794501560601
1,1,7.48598251720857
0,2,2.2288325896829613
1,0,7.4939843660986485
1,2,1.0752498355680873
1,0,7.754980364717584
0,1,7.3743615603263795
0,0,3.5851905437878004
1,0,7.581114143588216
0,0,4.782182380760082
0,2,2.496030200674495
1,2,1.6114216347198815
1,2,0.7047657962194289
1,2,1.4810524032945258
1,1,7.648830305893677
1,0,7.553756012213551
0,1,7.126306777238072
1,0,7.974026275130146
1,0,7.841474285009413
1,2,0.7140241664098748
0,0,5.612396416460444
0,0,4.483785258174862
0,0,5.08553345787196
1,2,2.311002378450408
0,2,2.3959932839561233
0,1,7.687720758625258
0,0,3.914106099488362
1,2,2.129029475369567
1,0,7.808025701995545
0,2,2.4250662033760815
0,0,4.123289941447902
1,2,1.5298507561515375
0,1,7.494886772407757
1,2,0.049240770189428185
1,0,7.255611974893626
1,2,1.1990749241728944
1,0,7.1715222448778375
1,2,-0.3473647703055234
1,1,7.3593927485589745
1,1,7.359434801121224
0,2,2.2121111152664943
0,2,2.5682865899776903
1,1,7.697376480178049
1,1,7.440115035178203
1,2,0.6584799931408368
1,2,0.5347201885222685
1,1,7.3963840775507865
1,2,1.1048080672252893
0,2,2.3161218689688527
1,0,8.428672133968671
1,2,0.9166899577467875
0,2,2.1543527468357073
1,0,7.933992363539584
1,0,7.62656079748179
0,1,7.50346754413578
0,1,7.64762981141433
0,1,7.633346472767399
0,0,5.011538515956037
1,1,7.644902014610792
0,1,7.080611069512544
0,2,2.541677998199734
1,0,7.0407236675698295
0,0,4.640110376768196
0,0,3.5135217787960977
0,1,7.380384365734148
0,0,4.294401043362436
1,0,8.015878577370644
1,0,6.914742932057042
1,2,0.9308004411824764
1,0,7.652651739176229
0,1,6.819056611128115
0,0,4.98317046354031
1,2,-0.24603278870491163
0,2,2.4952302521441805
0,0,3.0088941154069255
1,2,1.0885619476006927
0,2,2.45925409586928
0,0,4.741946911656649
0,2,2.203918848625365
0,0,4.7760175289283255
0,2,2.5224866429466335
1,1,7.557403574787057
0,2,2.5735607826026654
1,0,7.894052360312569
0,2,2.403611233386656
1,2,0.3541737602920939
0,1,7.530041118171221
1,1,7.548097766061065
0,1,7.282335830727518
0,2,2.1913354466381283
1,1,7.502243997437017
0,1,7.478050477995779
1,0,7.4340591415710096
0,0,2.698427018503857
0,1,7.310112128133101
0,2,2.299222027881523
1,1,7.567139577326035
1,0,7.244664620997311
0,0,4.30610362637935
1,2,0.808994385215868
1,1,7.599253407250266
0,1,6.847894878922978
1,2,1.1414039577148443
1,2,0.8704882429365057
1,0,7.708245045876209
0,0,5.3708460198268355
1,0,8.106580462596476
0,0,4.598412323394263
0,1,7.3036531355624374
1,0,7.67951762125023
1,0,7.825557413091148
1,1,7.500193130222487
1,0,7.769793976103669
1,0,7.77372223368527
1,2,1.0684277653378027
1,1,7.508860341881285
1,1,7.570665823076719
1,1,7.3619987003687815
0,1,7.576290849080481
0,1,7.473512050046187
1,1,7.654152052076408
1,1,7.630102865284478
0,0,4.2292811349396935
1,0,7.407215676352819
0,1,7.3938021074633005
0,1,7.121473560642339
0,1,7.459102915369507
1,1,7.628920545785138
0,1,7.1093623277532165
0,0,5.591050517638225
1,0,8.209521333454422
1,2,1.1329638366820136
0,0,5.298026893459439
0,0,5.715542671601339
1,0,7.7499274925665596
0,1,6.953742509115553
0,2,2.3117676654533494
1,2,1.1739323028980495
1,1,7.565826302294849
1,1,7.593196238590034
1,1,7.407498060151714
1,1,7.502423033772926
1,0,7.780247357861718
0,1,7.381556120944641
0,1,7.807852025747051
0,0,5.0088457643890365
0,2,2.3060580329923797
1,2,0.7493762685991444
0,2,2.2841428789864087
0,0,4.142643510434528
1,0,8.156413686093968
0,0,5.267830947751714
0,0,3.515682555177208
1,2,0.07277629916970207
0,1,7.55768792711694
1,2,0.5272935648604841
1,2,0.4253729172862594
1,2,0.3744546511979006
0,2,2.512357644741847
1,2,1.0742981944935595
0,1,6.564825860283758
0,0,5.015851046265562
0,0,6.560387763279951
0,0,4.047866029918881
0,0,4.635870265211446
0,1,7.7440146362428255
1,1,7.2864000900562385
1,0,7.99777362366585
0,2,1.7364591550200128
0,1,7.682179309272691
1,0,6.863101059577413
1,2,1.0516359106532431
0,0,5.268841004485361
1,0,7.387925424271169
0,0,4.9029790119623495
0,0,5.28960164988008
0,1,7.336377578992229
1,1,7.416341164234989
0,2,2.2406190991226063
1,1,7.631104788732869
1,0,7.523868882639198
0,1,7.356531160805724
0,1,7.176868855761098
0,0,5.349848167778822
0,0,4.792959626215768
1,0,8.409769776464035
0,1,7.606550096656161
0,0,5.046081684485805
1,2,-0.12968097918057708
0,1,7.1553129647780525
0,0,5.0615044832616185
0,1,7.709414623816248
1,0,7.8659027664282375
1,1,7.44131068572996
0,2,2.116442461781917
0,2,2.4818876604549596
0,1,7.273927105945145
1,0,7.462819629101608
0,2,1.9745523041468964
1,2,0.38232680759846605
0,0,4.261501454677689
1,1,7.323343189518378
0,1,7.252363130066209
1,1,7.6304787590968886
1,1,7.301905166671208
1,0,8.048711086890576
0,0,4.199987048804491
0,1,7.418511708389198
1,0,7.284346615354357
0,0,4.290774884865608
1,2,1.2628506235306887
0,1,7.473552517209043
1,1,7.455243458470369
0,0,3.7200044099970873
1,2,-0.14187551959762168
0,0,2.868804918319726
0,0,4.754386805646019
1,2,-0.8733806640979012
1,1,7.274043610383635
0,1,7.28539088915632
0,2,2.4163399744323124
0,2,2.000924559911765
1,1,7.496226462573616
0,2,2.503858831611218
1,0,7.60085109528315
1,0,7.597173153211545
0,0,5.977856451181689
0,1,7.357871962164149
1,1,7.403146020156494
1,0,8.066063877094003
1,2,-0.17766618685313118
0,2,2.3672305415423063
1,2,0.5254677275916986
0,0,5.0555038702482324
1,1,7.682007410164092
0,2,2.4048418135606378
1,1,7.4120947858175965
0,0,4.5043507612882046
1,2,1.343109123572578
0,2,2.4939313266826537
1,1,7.6418073827427895
1,0,7.822714662832173
1,0,6.5671509557040615
0,1,7.523452114259064
1,2,0.08229826429002951
1,2,2.0570034324426905
0,1,7.659374860208678
0,0,3.498175092510712
1,2,-0.7626182101831154
0,2,2.2057230050558174
0,0,5.837508559190468
1,1,7.5516077599425
1,2,0.21903156827336184
1,0,8.05601675332781
0,0,4.594077656722634
1,2,0.31733850210221287
0,1,7.556080641258555
0,2,2.350898096355331
1,2,0.537287051028611
1,0,8.288773692255532
0,1,7.482206983466464
0,2,2.258308576496229
0,2,2.346065740476638
0,0,3.506662609766032
0,2,2.3198851200075
1,0,7.198939365864232
0,0,3.5019058464084147
1,1,7.32382113094687
1,0,8.28741868132739
0,2,2.1538668749412633
0,0,5.472126533567422
0,2,2.078559393830549
1,2,0.7651217360382172
1,1,7.3233665545278575
1,2,1.159231517655977
1,1,7.424414278969937
0,1,7.330822863282715
1,1,7.5617539292769305
1,2,0.8219466693477737
0,1,7.365374709593717
1,0,8.016381972452656
1,1,7.44541928498497
1,2,1.0313156852691572
1,0,8.184338741678685
0,1,7.534009821482815
1,2,0.8792025641269033
0,2,2.638142492304129
0,2,2.1797321523963347
0,0,4.31900004929266
1,2,0.30276239991820336
1,0,7.039893149271841
1,0,7.615594444476167
0,1,7.559674187293775
1,1,7.625730797333961
0,2,2.196931987334594
1,1,7.556619044639206
1,2,0.842217406144433
1,2,0.324816739509671
1,1,7.362904518461397
0,1,7.037574596490464
1,2,1.491101150006553
1,1,7.404764347588761
0,0,3.120510600792432
1,1,7.6135403537695066
0,0,4.5731351059379834
0,0,5.371923696937947
0,2,2.0937968323674574
1,2,0.2374800062951407
0,2,2.320655945133113
0,2,2.287770748174137
1,0,7.977438136542215
1,1,7.591717471397912
1,2,-0.40239661868001964
1,2,1.0175024710394274
1,1,7.1330521032683585
0,0,6.7536883117642645
0,0,3.418187899101648
0,0,5.332457132179313
0,2,2.3004525318955538
1,1,7.602662665668322
0,2,2.1647131137094773
0,2,2.323220396769511
0,1,7.4205431622182365
0,1,7.150155460613392
1,0,8.013413796690134
1,1,7.671400298631937
0,2,2.158816718526947
0,0,5.94404272433879
1,1,7.52359237016767
1,1,7.603501999992799
0,1,7.222165425814794
0,0,5.003711986042941
1,2,-0.5288698911177858
0,2,2.0818489093316335
0,1,7.3820569594688035
1,1,7.713630536175016
0,1,7.25533755318354
0,0,5.016434208381357
0,0,3.55431560095448
1,1,7.5333317368073205
1,1,7.375147499877136
0,0,4.593258751897549
0,0,6.28207488214942
0,1,7.245874769360575
1,1,7.398292277397792
1,0,8.098581204447322
1,0,8.114612401216602
0,1,7.142594668109794
0,0,5.133169675440643
1,2,1.4840979064791853
1,1,7.490294673945162
1,2,2.1015337615921847
1,0,7.630531712751328
1,2,1.2178984451224397
0,1,7.326270805744586
0,2,2.2394655952172746
1,1,7.565518508026952
0,1,7.613928229825747
1,1,7.30393329434678
1,2,0.7889299037280809
0,0,4.349820358564589
0,0,4.421832548640696
1,1,7.599568749719395
1,1,7.500177644266216
1,2,0.3391684930032409
0,0,5.514716575948597
0,1,7.369988569968828
0,0,4.466443370622138
1,2,0.2860896701429377
1,0,7.697313655706376
0,1,7.159866927392197
1,0,7.377093796506095
1,2,1.1075891964273916
0,0,3.8697780073557833
0,2,2.0045315717638075
1,2,0.38591728118797214
1,0,7.390726922376358
0,0,3.730733738864635
0,0,3.6094176772666406
0,0,4.922920106265361
1,1,7.524851340585075
0,0,4.3236169839150564
0,2,2.2910752246111317
1,1,7.47394175347371
1,2,0.4549020644446353
1,1,7.359618934689745
1,2,1.1023666223024864
1,0,7.806261727059094
0,1,7.2988437321255955
0,0,4.468862868063328
0,0,4.9005914718880845
1,0,7.933005864928472
0,2,2.4786629067448254
0,1,7.25390722407872
1,0,8.131702119168025
1,2,-0.5168867751262736
1,2,-0.45026885258077654
0,1,7.193250541231596
1,2,-0.049166635353167565
0,1,7.4376748807547415
1,1,7.511845615114734
0,2,2.3894342387904355
0,0,4.781407723144744
0,2,2.549171542465868
0,1,7.307739425086323
0,0,4.804179133646331
1,1,7.4380388253135115
1,2,0.6816711145455359
0,0,4.55123608503393
1,2,1.603133935376275
0,0,4.787280551978522
0,0,4.680638011624598
0,1,7.505621695101159
0,2,2.0029441468166036
1,0,7.3606054825157194
1,2,0.6966505605965696
0,2,2.193356341471557
1,1,7.324104637342025
1,1,7.564567128234856
0,0,3.9025270958405343
1,2,1.079138406679181
0,0,3.8923064369707294
1,0,6.407625253635704
1,0,8.107751613196184
0,1,7.596804305430408
1,2,0.5108120742738766
0,0,4.124774040034347
1,1,7.441384314632557
1,2,2.3240270644286882
1,2,0.37973154797961806
0,1,7.188954258725346
1,2,1.7080614882724774
0,2,2.1233451256968645
1,2,-0.4886938664870504
1,1,7.497511591388087
1,0,7.503881561606668
1,2,1.1772367374057977
1,1,7.356979208156737
0,0,5.258138905557818
1,1,7.266829160479605
1,2,0.4448847708994602
1,2,0.47068872542248713
1,0,6.993515549521822
1,2,2.1055311670152994
1,1,7.58624061266658
1,0,7.8103939971293075
1,2,1.0317918617685256
1,1,7.502013580845102
0,0,4.186404140358258
1,0,7.050723884572179
0,0,4.4578960259947475
1,2,1.7956774049502016
1,2,0.263814473555891
0,0,5.12195952274692
1,0,7.692375580627252
0,2,2.2373291058492586
1,1,7.609896280406417
1,1,7.611613053097393
1,0,7.727607095971624
0,0,4.748120482193691
0,2,2.4311349839300944
1,0,7.7606099632739785
1,1,7.6124086617738795
0,1,7.153536989562982
0,2,2.690891062229752
1,0,7.4682043116464305
1,0,7.22985864687753
0,1,7.620842108378513
1,2,1.7783407924408023
1,1,7.608185903909432
0,2,2.3148984067376093
0,1,7.889695917983042
0,1,7.502557808117241
0,1,7.48997404997591
1,2,0.14489940544415925
1,0,7.1714951293120945
1,1,7.400459961921019
0,0,5.175812204430842
1,2,2.4921130171128647
0,2,1.8843626973599428
1,2,0.28767390448286595
1,1,7.388364189153014
0,2,2.155667680838214
1,0,8.024870913576706
1,0,8.017190867471278
1,0,7.313149626099318
0,1,7.5013403366651525
1,1,7.321748705161577
1,1,7.632998999011458
0,2,2.417291239846632
1,1,7.5426199287483415
0,1,7.227374576185967
1,2,0.34764207412639286
0,0,4.747259962664057
1,1,7.397156796523083
0,1,7.777846543799497
0,1,7.430749355535112
1,2,0.6295939057533332
0,0,4.889045037060013
1,2,0.8040704868420796
1,1,7.670977925891974
0,0,4.848083276187212
1,2,0.5403844620361461
0,0,5.196677809250514
1,1,7.726991454023839
0,2,2.367142319325213
0,1,7.352737293274383
0,0,4.4584511728664955
1,0,7.217874301127985
0,0,4.035008228391229
0,2,2.3534258290355985
1,0,8.055040280419488
0,2,2.428677719030414
1,2,2.388688303752032
0,1,7.795049722302496
1,2,0.8146188598141543
0,2,2.076507527734388
0,1,7.841602713014525
1,1,7.395620130431948
1,0,7.446668353226665
1,2,1.3458144986529388
1,1,7.468916014212234
0,1,7.307687543603847
1,1,7.624610998030849
0,2,2.1973249222542224
0,1,7.775284241211365
0,1,7.276603488360863
1,0,7.609260367154869
1,1,7.665159177849791
1,0,7.720898080290768
0,1,7.5557175411297655
1,1,7.605285437786533
0,0,4.412660976636524
0,0,3.8925959161032178
1,2,0.43340625294533813
1,2,0.35631191529012984
0,0,5.151195358938303
1,0,7.969980660083464
1,2,1.4814083989793556
0,0,4.588656997257755
1,1,7.398685415145644
1,2,0.6964530263852289
1,0,7.480377512164183
0,2,2.497721328824182
0,2,2.304264011669295
1,0,7.926573341254194
1,0,7.974337224468531
0,0,4.833913276219798
1,2,2.0631570207041277
0,2,2.5975730795354988
0,0,3.524598889676495
0,1,7.378825826855636
0,1,7.637646690757808
0,0,5.8968924123029725
0,2,2.2248624600183997
1,1,7.417543522909486
0,1,7.08061674513516
1,2,1.0997980212588527
1,0,7.65015430465548
1,0,8.364967883533366
0,0,4.5668483104074475
1,2,1.4949755999888876
1,0,7.895125397831119
1,1,7.448376887019137
1,2,0.9527633709294587
0,0,3.9192561167322877
0,0,5.541733749009879
1,2,0.7605941593217999
1,1,7.384076219646286
1,2,1.756087946829723
1,0,7.924711453254114
0,0,4.075107617636064
1,0,6.528300088450458
0,2,2.2588339411088167
1,0,7.715035410177151
0,0,3.5957366276872653
1,1,7.583594382379353
1,1,7.591736573463239
1,0,8.38112126137126
1,1,7.37945698606674
0,0,5.037918289278802
1,2,1.6012562459987822
0,0,3.533097736893666
0,2,2.0944076007909573
0,1,6.9013343535770755
0,0,5.207543694899959
0,1,7.279439962861714
1,2,2.2346899316104443
0,1,7.528669527656382
0,0,5.146020311242014
1,0,8.085000469453526
0,1,7.009420649279978
0,2,2.379011308495674
1,0,8.074614576711163
1,1,7.6828450325771955
1,2,0.18157345670076003
0,0,3.3491553624879646
1,2,1.07752028109128
1,1,7.5558169841675396
0,2,1.9868354262857444
1,2,0.2484953501281258
0,1,7.60615323424149
1,0,7.331939087552799
0,1,7.521264594755971
1,1,7.55432698217139
1,2,1.307184109580496
1,0,7.377405191172094
0,2,2.2959461135385753
1,0,8.117724641358363
0,2,2.374248349897335
0,0,4.644585412455601
0,0,4.646669402664559
1,2,1.776619273163559
0,1,7.6273454956061775
1,0,7.611801970279124
0,2,2.1478653610989817
0,1,6.595666876795807
0,2,2.298354943813218
1,2,0.48384647602164954
1,0,7.491121287407547
0,2,2.2754275864118267
0,1,7.0672968543942485
1,2,0.5431087775984822
1,2,0.34211812459065166
0,0,5.053493054018186
0,1,7.335281372984194
1,0,7.6641948015034425
1,0,7.584747608506248
0,0,5.2043361066478
1,0,8.232919568537982
1,2,0.5120426354902369
1,0,7.95649417443755
0,2,2.1830633897478275
1,2,0.12024728447241861
0,2,1.9863269468809999
0,0,4.561726325669245
0,2,2.338979453111006
0,1,7.3501707836395545
1,1,7.555230413293547
0,1,7.8136217133935135
1,1,7.541331011297652
1,0,8.61133998566581
0,0,4.1007956644693975
1,0,7.668739948813117
1,0,8.133035739384646
1,2,1.0541535223351954
0,2,2.264770630323428
1,2,1.6699296676555615
1,0,7.645911981920463
1,0,7.8061907245942495
0,2,2.486194328687755
0,0,6.745596542291985
1,1,7.535614157480597
1,2,1.1670080467048674
1,2,0.8901483543744233
1,0,7.31986706393512
0,2,2.631732033271312
0,2,2.66558747335928
0,0,5.001490824116307
0,2,1.9200888390589994
1,2,1.5335989835807595
1,2,0.9212348754826297
1,2,1.1473475363284513
1,2,0.4149866619198677
1,2,1.0482710359320726
0,0,4.0766249806038
1,0,6.848917115591647
0,0,5.568114927547237
1,2,-0.2341580836105832
1,1,7.507938236404323
1,0,8.065659467619552
0,2,2.6576669081863895
1,1,7.528974003287781
0,0,4.142385338357586
1,1,7.399719798579632
0,2,2.5454482520590385
1,0,7.946639904408877
1,2,1.6252259792454287
0,0,4.908033809787313
0,0,4.9064709142779135
0,2,2.73708129072259
0,2,2.2612803361261924
1,1,7.486287915585367
0,2,2.0940588594835647
0,0,5.229809960703156
0,1,7.250278609638751
0,0,4.257251070095982
1,2,0.9713476986367762
0,2,2.1311994722405108
0,0,3.771548310576541
0,0,4.493397811521272
0,0,4.29720729826352
0,2,2.39311210545861
1,1,7.310450242820979
1,0,8.018515711090643
0,1,7.527663097099773
0,2,2.344269815388501
0,1,7.090320864818426
0,2,2.2842826053130314
0,2,2.2197686371373893
0,0,3.9817919260817027
0,2,2.5601000215378393
1,0,8.335990584267954
0,2,1.9821059237454048
0,2,2.406919102795858
1,2,-0.8050764653021976
1,0,7.753112854210977
0,0,4.706267575533761
1,1,7.566807392682648
0,0,4.709466204497581
0,0,4.383754739169462
1,1,7.597062238717138
1,2,0.03165391225445313
0,2,2.1324309332103653
0,0,5.319025475424594
0,0,4.723866032202226
1,1,7.476874715662975
1,0,7.376250566881739
0,0,4.479844511385197
1,0,7.698824618663387
0,0,5.594754547144095
0,1,7.537816587689571
1,0,8.282402707725597
1,0,7.898511174424199
0,1,7.16053110105356
0,0,3.8874523615482794
0,2,2.36511393005004
0,0,3.865962971482007
0,2,2.24775686538421
0,1,7.985037316889723
1,1,7.481715748064853
1,2,0.8430416833003658
0,0,4.231889519031164
0,2,2.413595308732687
1,0,7.631863012322998
1,2,1.6041825111258823
0,2,2.5823720608792984
0,1,7.502329833545338
0,1,7.358900154746933
1,0,7.222673465103507
1,1,7.712181015426476
1,2,1.0144038543972593
0,0,4.669603175076426
1,0,7.44870788291476
0,0,4.4223180726045115
1,0,7.29456040570783
0,1,7.533244255610125
0,0,4.392262202689705
0,2,2.4184818015655294
1,2,1.6740563957254708
1,2,0.45898947700530374
0,0,3.8415409748862377
1,2,0.4545397317069352
0,2,2.3483423602136386
0,0,4.435524387793499
1,0,7.688082096128076
0,2,2.5041181548820544
0,1,7.698550816717028
0,0,2.992039373146759
1,0,7.92550461129167
0,1,7.367598502226935
0,0,4.921630140541067
1,0,8.09356619037152
0,2,1.9494228021286668
0,1,7.5730341331932935
1,0,7.792513947869749
1,0,7.441648983180614
1,2,0.05129829412623854
1,2,1.8608272687634908
0,2,2.3020887895574056
0,2,2.0206160672500943
0,2,2.3403036071873298
1,1,7.407767304896879
1,0,7.175665319627625
0,2,2.0615757478888392
1,0,7.905556003233742
1,2,0.5682390351661376
0,1,7.812810649594863
0,1,7.589885435996557
0,0,4.876654297000475
0,2,2.2286094225750177
0,2,2.0037787653050816
1,1,7.568961156879909
1,0,8.086005958820314
1,0,7.110470436390553
0,0,4.664735500981687
1,0,8.670270744075435
0,1,7.442977936669582
0,0,4.21056178775854
0,1,7.474747241483244
0,2,2.6405879263007344
